epoch,time,train_loss,train_acc,val_loss,val_acc
1,169.62051963806152,0.6915473282337189,0.4983974358974359,0.6809511780738831,0.5
2,159.58970046043396,0.6832297950983047,0.5016025641025641,0.671850037574768,0.5
3,156.91170835494995,0.6678969502449036,0.5,0.6603306531906128,0.5256410256410257
4,157.0412197113037,0.6552358478307724,0.5192307692307693,0.6490871667861938,0.5064102564102564
5,155.88869214057922,0.6370693236589432,0.5592948717948718,0.6393059372901917,0.5192307692307693
6,156.70250630378723,0.623891732096672,0.5721153846153846,0.6507792830467224,0.6730769230769231
7,156.98877620697021,0.6178505659103394,0.6105769230769231,0.6487340807914734,0.6730769230769231
8,158.83749437332153,0.6007706940174102,0.6362179487179487,0.6150593996047974,0.6025641025641025
9,156.20190453529358,0.5841839522123337,0.6458333333333334,0.6126835823059082,0.6089743589743589
10,158.56588435173035,0.5683884128928185,0.6682692307692307,0.6161522626876831,0.5897435897435898
